Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2023-01-03,1626.212646484375,1627.0,0.0,1632.5,1601.0,1614.0,0.0,1113283.0
2023-01-04,1671.6905517578125,1672.5,0.0,1672.5,1631.0,1634.5,0.0,984678.0
2023-01-05,1743.6558837890625,1744.5,0.0,1763.0,1680.0,1680.0,0.0,2026353.0
2023-01-06,1770.14306640625,1771.0,0.0,1775.0,1740.0,1753.5,0.0,997727.0
2023-01-09,1749.153076171875,1750.0,0.0,1774.0,1744.5,1771.0,0.0,1052527.0
2023-01-10,1753.6510009765625,1754.5,0.0,1767.5,1741.0,1744.0,0.0,1588126.0
2023-01-11,1762.646728515625,1763.5,0.0,1783.0,1755.0,1763.5,0.0,2080435.0
2023-01-12,1800.6282958984375,1801.5,0.0,1805.0,1763.5,1774.0,0.0,1509800.0
2023-01-13,1794.13134765625,1795.0,0.0,1818.5,1788.5,1811.0,0.0,875947.0
2023-01-16,1827.615234375,1828.5,0.0,1836.0,1805.5,1811.5,0.0,529561.0
2023-01-17,1852.60302734375,1853.5,0.0,1857.0,1826.0,1826.0,0.0,1445108.0
2023-01-18,1830.114013671875,1831.0,0.0,1856.5,1831.0,1851.5,0.0,1217432.0
2023-01-19,1813.1221923828125,1814.0,0.0,1826.5,1806.5,1820.5,0.0,1554848.0
2023-01-20,1825.6160888671875,1826.5,0.0,1835.0,1817.5,1820.0,0.0,1849637.0
2023-01-23,1868.59521484375,1869.5,0.0,1869.5,1841.5,1857.5,0.0,1599804.0
2023-01-24,1831.1134033203125,1832.0,0.0,1872.5,1820.0,1862.0,0.0,4712167.0
2023-01-25,1834.112060546875,1835.0,0.0,1847.5,1829.8199462890625,1842.0,0.0,2133155.0
2023-01-26,1846.60595703125,1847.5,0.0,1850.427001953125,1827.5,1841.0,0.0,1804952.0
2023-01-27,1856.101318359375,1857.0,0.0,1859.5,1832.5,1840.0,0.0,1162650.0
2023-01-30,1865.0970458984373,1866.0,0.0,1868.5,1843.5,1852.5,0.0,933484.0
2023-01-31,1855.101806640625,1856.0,0.0,1876.0,1852.0,1860.0,0.0,2500050.0
2023-02-01,1874.092529296875,1875.0,0.0,1891.0,1859.5,1861.5,0.0,1626167.0
2023-02-02,1947.55712890625,1948.5,0.0,1948.5,1875.5,1875.5,0.0,1063609.0
2023-02-03,1930.5653076171875,1931.5,0.0,1946.0,1917.75,1940.0,0.0,765986.0
2023-02-06,1935.063232421875,1936.0,0.0,1941.0,1912.0,1922.0,0.0,1342991.0
2023-02-07,1923.5687255859373,1924.5,0.0,1945.5,1917.5,1926.5,0.0,1632105.0
2023-02-08,1928.0665283203125,1929.0,0.0,1949.0,1924.0,1927.0,0.0,693509.0
2023-02-09,1927.5667724609373,1928.5,0.0,1943.0,1919.5,1934.0,0.0,1954043.0
2023-02-10,1885.0872802734373,1886.0,0.0,1925.5,1858.0,1922.0,0.0,1810769.0
2023-02-13,1903.5784912109373,1904.5,0.0,1908.5,1882.5,1888.0,0.0,1098402.0
2023-02-14,1909.07568359375,1910.0,0.0,1917.5,1895.802001953125,1915.5,0.0,1113511.0
2023-02-15,1919.5706787109373,1920.5,0.0,1930.0,1895.5,1911.0,0.0,1076452.0
2023-02-16,1934.063720703125,1935.0,0.0,1946.5,1919.5,1926.0,0.0,972175.0
2023-02-17,1931.5648193359373,1932.5,0.0,1940.0,1898.5,1923.0,0.0,884257.0
2023-02-20,1944.55859375,1945.5,0.0,1949.5,1929.0,1945.0,0.0,727431.0
2023-02-21,1968.0472412109373,1969.0,0.0,1974.5,1936.0,1941.5,0.0,1828752.0
2023-02-22,1975.0438232421875,1976.0,0.0,1976.0,1958.5,1959.0,0.0,1566140.0
2023-02-23,1948.5567626953125,1949.5,0.0,1996.5,1949.5,1980.0,0.0,2040422.0
2023-02-24,1945.55810546875,1946.5,0.0,1960.5,1931.5,1956.0,0.0,1485170.0
2023-02-27,1973.5445556640625,1974.5,0.0,1998.5,1952.5,1970.0,0.0,1158180.0
2023-02-28,2006.02880859375,2007.0,0.0,2021.0,1966.0,1984.5,0.0,1906317.0
2023-03-01,2014.02490234375,2015.0,0.0,2037.0,2008.0,2016.0,0.0,2466117.0
2023-03-02,2021.0216064453125,2022.0,0.0,2023.0,2003.6400146484373,2008.0,0.0,990922.0
2023-03-03,2032.016357421875,2033.0,0.0,2046.0,2013.0,2017.0,0.0,861766.0
2023-03-06,2039.0128173828125,2040.0,0.0,2055.0,2036.0,2036.0,0.0,730261.0
2023-03-07,2038.0133056640625,2039.0,0.0,2057.0,2029.0,2029.0,0.0,2336260.0
2023-03-08,2051.0068359375,2052.0,0.0,2057.0,2029.0,2036.0,0.0,504880.0
2023-03-09,2065.999755859375,2067.0,0.0,2076.0,2047.0,2051.0,0.0,987420.0
2023-03-10,2016.0240478515625,2017.0,0.0,2056.0,2010.0999755859373,2055.0,0.0,1173077.0
2023-03-13,1947.057373046875,1948.0,0.0,2029.0,1943.5,2015.0,0.0,2155809.0
2023-03-14,1988.5372314453125,1989.5,0.0,1989.5,1945.0,1952.5,0.0,1543892.0
2023-03-15,1899.0806884765625,1900.0,0.0,1991.0,1891.5,1984.5,0.0,2682890.0
