Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2023-01-03,1937.236083984375,1938.5,0.0,1995.0,1938.470947265625,1995.0,0.0,1093008.0
2023-01-04,1965.717529296875,1967.0,0.0,1980.362060546875,1937.0799560546875,1945.0,0.0,673375.0
2023-01-05,1972.2132568359373,1973.5,0.0,1987.5,1945.387939453125,1964.5,0.0,761848.0
2023-01-06,1976.7103271484373,1978.0,0.0,1979.5,1955.0,1970.5,0.0,433705.0
2023-01-09,1970.2144775390625,1971.5,0.0,1982.5,1959.0,1982.5,0.0,697641.0
2023-01-10,1953.7252197265625,1955.0,0.0,1973.5,1933.0,1933.0,0.0,1891240.0
2023-01-11,1934.2379150390625,1935.5,0.0,1959.0,1923.5,1949.5,0.0,969579.0
2023-01-12,1925.243896484375,1926.5,0.0,1956.0,1920.5,1936.0,0.0,904204.0
2023-01-13,1927.2425537109373,1928.5,0.0,1933.39599609375,1896.5,1915.0,0.0,777965.0
2023-01-16,1943.7318115234373,1945.0,0.0,1952.0,1927.5,1930.0,0.0,428202.0
2023-01-17,1962.2197265625,1963.5,0.0,1963.5,1931.75,1942.0,0.0,1420164.0
2023-01-18,1917.7486572265625,1919.0,0.0,1961.5,1902.5,1958.5,0.0,2043364.0
2023-01-19,1927.7423095703125,1929.0,0.0,1945.0,1910.5150146484373,1915.5,0.0,692404.0
2023-01-20,1915.2503662109373,1916.5,0.0,1925.0,1903.862060546875,1920.0,0.0,494162.0
2023-01-23,1926.2432861328125,1927.5,0.0,1935.0,1913.0,1915.5,0.0,513926.0
2023-01-24,1934.7376708984373,1936.0,0.0,1941.5,1914.85498046875,1939.5,0.0,422571.0
2023-01-25,1926.7427978515625,1928.0,0.0,1947.5,1910.0,1935.5,0.0,1203846.0
2023-01-26,1911.2530517578125,1912.5,0.0,1940.3070068359373,1903.0,1933.0,0.0,3725253.0
2023-01-27,1924.744140625,1926.0,0.0,1933.5,1901.0,1927.5,0.0,1471368.0
2023-01-30,1940.234130859375,1941.5,0.0,1941.5,1906.5,1915.5,0.0,1002403.0
2023-01-31,1960.2210693359373,1961.5,0.0,1967.5,1940.375,1941.5,0.0,844455.0
2023-02-01,1975.7109375,1977.0,0.0,1992.5,1954.0,1959.0,0.0,1334812.0
2023-02-02,1962.2197265625,1963.5,0.0,1980.5,1936.0,1976.5,0.0,795712.0
2023-02-03,1987.703125,1989.0,0.0,1989.0,1958.0,1964.5,0.0,733240.0
2023-02-06,1963.2191162109373,1964.5,0.0,1979.0,1946.5,1977.5,0.0,722293.0
2023-02-07,1933.2386474609373,1934.5,0.0,1967.72998046875,1920.5,1953.0,0.0,1005987.0
2023-02-08,1935.7369384765625,1937.0,0.0,1960.5,1930.0,1945.0,0.0,901871.0
2023-02-09,1927.2425537109373,1928.5,0.0,1956.0,1923.5,1941.5,0.0,1027897.0
2023-02-10,1908.754638671875,1910.0,0.0,1941.2099609375,1907.5,1926.0,0.0,947022.0
2023-02-13,1940.234130859375,1941.5,0.0,1957.0,1907.0,1907.0,0.0,1636515.0
2023-02-14,2036.671142578125,2038.0,0.0,2094.0,1986.5,2000.0,0.0,2588671.0
2023-02-15,2073.64697265625,2075.0,0.0,2105.0,2063.0,2093.0,0.0,1433837.0
2023-02-16,2065.65234375,2067.0,0.0,2092.0,2048.087890625,2084.0,0.0,892262.0
2023-02-17,2108.624267578125,2110.0,0.0,2110.0,2052.0,2060.0,0.0,1733032.0
2023-02-20,2081.641845703125,2083.0,0.0,2110.0,2083.0,2108.0,0.0,794251.0
2023-02-21,2106.62548828125,2108.0,0.0,2116.0,2073.0,2079.0,0.0,1381219.0
2023-02-22,2138.6044921875,2140.0,0.0,2143.0,2097.0,2105.0,0.0,707574.0
2023-02-23,2143.601318359375,2145.0,0.0,2159.0,2142.0,2145.0,0.0,461843.0
2023-02-24,2128.611083984375,2130.0,0.0,2152.0,2125.0,2150.0,0.0,569509.0
2023-02-27,2139.60400390625,2141.0,0.0,2159.0,2131.0,2141.0,0.0,391776.0
2023-02-28,2125.613037109375,2127.0,0.0,2144.0,2118.0,2128.0,0.0,1034602.0
2023-03-01,2138.6044921875,2140.0,0.0,2171.0,2134.0,2134.0,0.0,696780.0
2023-03-02,2178.57861328125,2180.0,0.0,2185.0,2116.0,2134.0,0.0,485728.0
2023-03-03,2175.58056640625,2177.0,0.0,2189.0,2168.0,2189.0,0.0,462238.0
2023-03-06,2173.58203125,2175.0,0.0,2182.0,2150.0,2182.0,0.0,637028.0
2023-03-07,2158.591552734375,2160.0,0.0,2173.0,2123.0,2173.0,0.0,856139.0
2023-03-08,2177.579345703125,2179.0,0.0,2188.0,2149.0,2149.0,0.0,673939.0
2023-03-09,2173.58203125,2175.0,0.0,2194.0,2162.0,2162.0,0.0,532855.0
2023-03-10,2144.600830078125,2146.0,0.0,2176.0,2129.0,2168.0,0.0,540296.0
2023-03-13,2107.625,2109.0,0.0,2145.0,2092.0,2145.0,0.0,607453.0
2023-03-14,2126.612548828125,2128.0,0.0,2129.0,2102.0,2105.0,0.0,707075.0
2023-03-15,2071.6484375,2073.0,0.0,2140.0,2073.0,2125.0,0.0,1105974.0
2023-03-16,2130.60986328125,2132.0,0.0,2146.0,2087.0,2088.0,0.0,1924233.0
2023-03-17,2116.618896484375,2118.0,0.0,2149.0,2107.0,2136.0,0.0,1129421.0
