Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2023-01-03,7143.537109375,7146.0,0.0,7316.0,7136.0,7150.0,0.0,1077722.0
2023-01-04,7171.52734375,7174.0,0.0,7240.0,7134.0,7186.0,0.0,957324.0
2023-01-05,7123.54443359375,7126.0,0.0,7236.0,7120.0,7190.0,0.0,579331.0
2023-01-06,7157.53271484375,7160.0,0.0,7180.0,7094.0,7122.0,0.0,640313.0
2023-01-09,7283.48828125,7286.0,0.0,7302.0,7168.0,7252.0,0.0,919276.0
2023-01-10,7277.49072265625,7280.0,0.0,7318.0,7200.0,7220.0,0.0,764024.0
2023-01-11,7363.46142578125,7366.0,0.0,7472.0,7242.0,7250.0,0.0,996388.0
2023-01-12,7369.458984375,7372.0,0.0,7442.0,7342.0,7344.0,0.0,836585.0
2023-01-13,7441.43408203125,7444.0,0.0,7520.0,7396.0,7416.0,0.0,496843.0
2023-01-16,7481.4208984375,7484.0,0.0,7560.0,7446.6328125,7470.0,0.0,562955.0
2023-01-17,7457.4287109375,7460.0,0.0,7518.0,7414.0,7478.0,0.0,1095707.0
2023-01-18,7567.39111328125,7570.0,0.0,7586.0,7460.0,7488.0,0.0,913407.0
2023-01-19,7495.41552734375,7498.0,0.0,7608.0,7466.0,7564.0,0.0,977754.0
2023-01-20,7487.41845703125,7490.0,0.0,7544.0,7450.0,7514.0,0.0,900639.0
2023-01-23,7325.474609375,7328.0,0.0,7562.0,7310.0,7502.0,0.0,1070813.0
2023-01-24,7261.49609375,7264.0,0.0,7374.0,7256.0,7360.0,0.0,1312243.0
2023-01-25,7293.4853515625,7296.0,0.0,7296.0,7140.0,7288.0,0.0,1064852.0
2023-01-26,7321.47607421875,7324.0,0.0,7366.0,7234.0,7362.0,0.0,666550.0
2023-01-27,7383.45458984375,7386.0,0.0,7386.0,7234.0,7340.0,0.0,694728.0
2023-01-30,7385.45361328125,7388.0,0.0,7440.0,7296.0,7298.0,0.0,922324.0
2023-01-31,7403.44775390625,7406.0,0.0,7414.0,7340.6240234375,7376.0,0.0,717564.0
2023-02-01,7405.44677734375,7408.0,0.0,7502.0,7370.0,7402.0,0.0,512207.0
2023-02-02,7507.41162109375,7510.0,0.0,7532.0,7396.0,7434.0,0.0,605383.0
2023-02-03,7641.36572265625,7644.0,0.0,7644.0,7468.0,7490.0,0.0,508904.0
2023-02-06,7625.37158203125,7628.0,0.0,7654.0,7590.0,7602.0,0.0,505433.0
2023-02-07,7561.39306640625,7564.0,0.0,7628.0,7506.0,7612.0,0.0,457967.0
2023-02-08,7591.3828125,7594.0,0.0,7626.0,7570.0,7574.0,0.0,563340.0
2023-02-09,7653.361328125,7656.0,0.0,7778.0,7608.0,7634.0,0.0,828897.0
2023-02-10,7621.3720703125,7624.0,0.0,7678.0,7594.0,7642.0,0.0,585085.0
2023-02-13,7629.36962890625,7632.0,0.0,7674.0,7568.0,7638.0,0.0,673791.0
2023-02-14,7655.36083984375,7658.0,0.0,7726.0,7646.0,7652.0,0.0,585257.0
2023-02-15,7735.3330078125,7738.0,0.0,7756.0,7634.0,7650.0,0.0,369653.0
2023-02-16,7693.34765625,7696.0,0.0,7848.0,7652.0,7774.0,0.0,546823.0
2023-02-17,7611.3759765625,7614.0,0.0,7676.0,7590.0,7660.0,0.0,732900.0
2023-02-20,7585.384765625,7588.0,0.0,7650.0,7572.0,7642.0,0.0,479873.0
2023-02-21,7569.390625,7572.0,0.0,7600.0,7500.0,7544.0,0.0,1088148.0
2023-02-22,7497.4150390625,7500.0,0.0,7594.0,7470.0,7568.0,0.0,1049450.0
2023-02-23,7497.4150390625,7500.0,0.0,7532.0,7480.0,7506.0,0.0,575597.0
2023-02-24,7535.40234375,7538.0,0.0,7558.0,7478.0,7510.0,0.0,571727.0
2023-02-27,7515.4091796875,7518.0,0.0,7626.0,7484.0,7530.0,0.0,558888.0
2023-02-28,7429.4384765625,7432.0,0.0,7526.0,7380.0,7450.0,0.0,1429146.0
2023-03-01,7445.43359375,7448.0,0.0,7562.0,7410.0,7414.0,0.0,846875.0
2023-03-02,7421.44140625,7424.0,0.0,7484.0,7232.0,7370.0,0.0,1777716.0
2023-03-03,7565.3916015625,7568.0,0.0,7660.0,7456.5,7464.0,0.0,851288.0
2023-03-06,7481.4208984375,7484.0,0.0,7656.0,7422.0,7550.0,0.0,505205.0
2023-03-07,7443.43359375,7446.0,0.0,7558.0,7430.0,7498.0,0.0,904828.0
2023-03-08,7459.42822265625,7462.0,0.0,7570.0,7250.0,7342.0,0.0,7750219.0
2023-03-09,7383.45458984375,7386.0,0.0,7516.0,7380.0,7496.0,0.0,4532601.0
2023-03-10,7359.46240234375,7362.0,0.0,7442.0,7302.0,7370.0,0.0,5322507.0
2023-03-13,7291.48681640625,7294.0,0.0,7472.0,7250.0,7450.0,0.0,12376183.0
2023-03-14,7303.48193359375,7306.0,0.0,7354.0,7142.0,7282.0,0.0,1450668.0
2023-03-15,7203.5166015625,7206.0,0.0,7472.0,7192.0,7304.0,0.0,1148799.0
2023-03-16,7323.47509765625,7326.0,0.0,7363.30810546875,7272.0,7272.0,0.0,2223339.0
2023-03-17,7467.42578125,7470.0,0.0,7544.0,7374.0,7496.0,0.0,3117905.0
2023-03-20,7513.40966796875,7516.0,0.0,7574.0,7378.0,7416.0,0.0,1752733.0
2023-03-21,7737.33251953125,7740.0,0.0,7740.0,7510.0,7516.0,0.0,1071731.0
2023-03-22,7679.3525390625,7682.0,0.0,7772.0,7670.0,7756.0,0.0,3814922.0
2023-03-23,7777.31884765625,7780.0,0.0,7780.0,7684.0,7694.0,0.0,920195.0
2023-03-24,7747.3291015625,7750.0,0.0,7820.0,7716.0,7760.0,0.0,1624708.0
2023-03-27,7799.3115234375,7802.0,0.0,7846.0,7736.01611328125,7786.0,0.0,882327.0
2023-03-28,7791.31396484375,7794.0,0.0,7848.0,7762.0,7848.0,0.0,2241503.0
2023-03-29,7861.29052734375,7864.0,0.0,7874.0,7786.0,7786.0,0.0,1429615.0
2023-03-30,7825.30224609375,7828.0,0.0,7908.0,7772.0,7906.0,0.0,1251125.0
2023-03-31,7865.2880859375,7868.0,0.0,8893.8603515625,7826.0,7836.0,0.0,1260966.0
2023-04-03,7737.33251953125,7740.0,0.0,7900.0,7706.0,7880.0,0.0,890254.0
2023-04-04,7849.29443359375,7852.0,0.0,7880.0,7748.0,7776.0,0.0,1383661.0
2023-04-05,7885.28125,7888.0,0.0,7976.0,7846.0,7876.0,0.0,780347.0
2023-04-06,8019.23486328125,8022.0,0.0,8022.0,7860.0,7896.0,0.0,689035.0
2023-04-11,7925.26708984375,7928.0,0.0,8060.0,7832.0,8048.0,0.0,1843801.0
2023-04-12,7975.25,7978.0,0.0,8020.0,7898.0,7906.0,0.0,1459663.0
2023-04-13,8017.236328125,8020.0,0.0,8088.0,7962.0,7996.0,0.0,685482.0
2023-04-14,7955.2578125,7958.0,0.0,8062.0,7954.0,8032.0,0.0,853438.0
2023-04-17,7865.2880859375,7868.0,0.0,7960.0,7838.0,7914.0,0.0,1290742.0
2023-04-18,7899.27685546875,7902.0,0.0,7912.0,7802.0,7912.0,0.0,811095.0
2023-04-19,7927.26708984375,7930.0,0.0,7952.0,7848.0,7858.0,0.0,448612.0
2023-04-20,7950.01416015625,7952.0,75.3,7974.0,7810.0,7838.0,0.0,1243867.0
2023-04-21,8081.98095703125,8084.0,0.0,8084.0,7934.0,7948.0,0.0,770191.0
2023-04-24,8029.99462890625,8032.0,0.0,8080.0,8026.0,8054.0,0.0,1100058.0
2023-04-25,8089.9794921875,8092.0,0.0,8102.0,7980.0,7990.0,0.0,948016.0
2023-04-26,7984.005859375,7986.0,0.0,8066.0,7950.0,8050.0,0.0,1312155.0
2023-04-27,8081.98095703125,8084.0,0.0,8112.0,7952.0,7964.0,0.0,1454446.0
2023-04-28,8343.916015625,8346.0,0.0,8346.0,8110.0,8110.0,0.0,4000407.0
2023-05-02,8367.91015625,8370.0,0.0,8438.0,8290.0,8380.0,0.0,2440506.0
2023-05-03,8315.921875,8318.0,0.0,8426.0,8268.0,8404.0,0.0,1155119.0
2023-05-04,8367.91015625,8370.0,0.0,8400.0,8282.0,8344.0,0.0,762259.0
2023-05-05,8355.9130859375,8358.0,0.0,8466.0,8316.0,8412.0,0.0,466038.0
2023-05-09,8377.9072265625,8380.0,0.0,8414.0,8316.0,8390.0,0.0,791846.0
2023-05-10,8455.8876953125,8458.0,0.0,8460.0,8380.0,8402.0,0.0,656365.0
2023-05-11,8501.876953125,8504.0,0.0,8584.4267578125,8470.0,8488.0,0.0,1381780.0
2023-05-12,8551.8642578125,8554.0,0.0,8592.0,8506.0,8526.0,0.0,750842.0
2023-05-15,8453.8876953125,8456.0,0.0,8576.0,8426.0,8542.0,0.0,557223.0
2023-05-16,8469.8837890625,8472.0,0.0,8502.712890625,8436.0,8436.0,0.0,420787.0
2023-05-17,8241.94140625,8244.0,0.0,8292.0,8038.0,8100.0,0.0,8360282.0
2023-05-18,8361.9111328125,8364.0,0.0,8406.0,8260.677734375,8300.0,0.0,2805555.0
2023-05-19,8433.8935546875,8436.0,0.0,8436.0,8326.0,8398.0,0.0,5323668.0
2023-05-22,8469.8837890625,8472.0,0.0,8482.0,8400.0,8460.0,0.0,7560767.0
2023-05-23,8475.8828125,8478.0,0.0,8562.0,8434.0,8482.0,0.0,2456213.0
2023-05-24,8299.9267578125,8302.0,0.0,8474.0,8236.0,8474.0,0.0,2320779.0
2023-05-25,8335.91796875,8338.0,0.0,8340.0,8214.0,8234.0,0.0,1171173.0
2023-05-26,8481.8818359375,8484.0,0.0,8500.0,8320.0,8342.0,0.0,1364057.0
2023-05-30,8477.8818359375,8480.0,0.0,8518.0,8452.0,8498.0,0.0,1044160.0
2023-05-31,8547.865234375,8550.0,0.0,8576.0,8428.0,8434.0,0.0,3352290.0
2023-06-01,8455.8876953125,8458.0,0.0,8618.0,8450.0,8506.0,0.0,1240308.0
2023-06-02,8491.87890625,8494.0,0.0,8564.0,8446.0,8470.0,0.0,3299925.0
2023-06-05,8659.8369140625,8662.0,0.0,8662.0,8466.0,8496.0,0.0,1636322.0
2023-06-06,8771.8095703125,8774.0,0.0,8818.0,8628.0,8628.0,0.0,1909302.0
2023-06-07,8739.81640625,8742.0,0.0,8802.0,8698.0,8760.0,0.0,1639588.0
2023-06-08,8737.8173828125,8740.0,0.0,8764.0,8636.0,8704.0,0.0,1483961.0
2023-06-09,8647.8408203125,8650.0,0.0,8758.0,8620.599609375,8748.0,0.0,1586689.0
2023-06-12,8675.8330078125,8678.0,0.0,8758.0,8648.0,8706.0,0.0,900016.0
2023-06-13,8699.8271484375,8702.0,0.0,8784.0,8678.0,8698.0,0.0,791279.0
2023-06-14,8655.837890625,8658.0,0.0,8704.0,8606.0,8680.0,0.0,1573032.0
2023-06-15,8763.8115234375,8766.0,0.0,8794.0,8629.0,8666.0,0.0,769408.0
2023-06-16,8717.822265625,8720.0,0.0,8804.2001953125,8719.1279296875,8762.0,0.0,3098371.0
2023-06-19,8643.8408203125,8646.0,0.0,8730.0,8646.0,8730.0,0.0,707898.0
2023-06-20,8633.8427734375,8636.0,0.0,8672.0,8604.0,8624.0,0.0,1276522.0
2023-06-21,8537.8671875,8540.0,0.0,8680.0,8536.5,8602.0,0.0,1523627.0
2023-06-22,8443.890625,8446.0,0.0,8508.0,8390.0,8498.0,0.0,1101975.0
2023-06-23,8419.896484375,8422.0,0.0,8462.0,8342.0,8402.0,0.0,1028876.0
2023-06-26,8411.8994140625,8414.0,0.0,8464.0,8366.0,8440.0,0.0,1210754.0
2023-06-27,8355.9130859375,8358.0,0.0,8388.0,8316.0,8366.0,0.0,847622.0
2023-06-28,8387.9052734375,8390.0,0.0,8446.0,8368.0,8420.0,0.0,950657.0
2023-06-29,8317.921875,8320.0,0.0,8418.0,8266.0,8396.0,0.0,1157071.0
2023-06-30,8363.9111328125,8366.0,0.0,8414.0,8332.0,8372.0,0.0,2256357.0
2023-07-03,8249.939453125,8252.0,0.0,8360.0,8248.0,8338.0,0.0,1433368.0
2023-07-04,8237.9423828125,8240.0,0.0,8360.0,8224.0,8278.0,0.0,513250.0
2023-07-05,8201.9521484375,8204.0,0.0,8242.0,8164.0,8176.0,0.0,1059205.0
2023-07-06,8083.98095703125,8086.0,0.0,8214.0,8046.0,8170.0,0.0,1170466.0
2023-07-07,8087.9794921875,8090.0,0.0,8090.0,7968.0,8026.0,0.0,1439188.0
2023-07-10,8077.982421875,8080.0,0.0,8148.0,8054.0,8110.0,0.0,812970.0
2023-07-11,8002.00146484375,8004.0,0.0,8120.0,7984.0,8120.0,0.0,1362388.0
2023-07-12,7984.005859375,7986.0,0.0,8078.0,7976.0,8024.0,0.0,1065892.0
2023-07-13,8089.9794921875,8092.0,0.0,8108.0,7970.0,8018.0,0.0,862736.0
2023-07-14,8287.9306640625,8290.0,0.0,8318.0,8070.0,8070.0,0.0,1268546.0
2023-07-17,8297.927734375,8300.0,0.0,8322.0,8236.0,8250.0,0.0,917876.0
2023-07-18,8305.9248046875,8308.0,0.0,8344.0,8266.0,8344.0,0.0,1099189.0
2023-07-19,8397.90234375,8400.0,0.0,8454.0,8336.0,8352.0,0.0,1183715.0
2023-07-20,8419.896484375,8422.0,0.0,8453.357421875,8354.0,8384.0,0.0,2150632.0
2023-07-21,8309.9248046875,8312.0,0.0,8434.0,8300.0,8426.0,0.0,2212917.0
2023-07-24,8343.916015625,8346.0,0.0,8406.0,8300.0,8300.0,0.0,1724106.0
2023-07-25,8395.90234375,8398.0,0.0,8418.0,8270.0,8328.0,0.0,2226939.0
2023-07-26,8465.884765625,8468.0,0.0,8468.0,8372.0,8416.0,0.0,692070.0
2023-07-27,8473.8828125,8476.0,0.0,8558.0,8430.0,8484.0,0.0,1072747.0
2023-07-28,8525.87109375,8528.0,0.0,8564.0,8454.400390625,8464.0,0.0,411578.0
2023-07-31,8459.8876953125,8462.0,0.0,8542.0,8450.0,8518.0,0.0,549179.0
2023-08-01,8343.916015625,8346.0,0.0,8484.0,8278.0,8448.0,0.0,696020.0
2023-08-02,8283.9306640625,8286.0,0.0,8310.0,8176.0,8248.0,0.0,579478.0
2023-08-03,8185.955078125,8188.0,0.0,8210.0,7784.0,7916.0,0.0,2442654.0
2023-08-04,8135.96826171875,8138.0,0.0,8216.0,8040.0,8140.0,0.0,1028934.0
2023-08-07,8203.94921875,8206.0,0.0,8218.0,8100.0,8100.0,0.0,1037677.0
2023-08-08,8271.93359375,8274.0,0.0,8356.0,8204.0,8204.0,0.0,941798.0
2023-08-09,8251.9384765625,8254.0,0.0,8350.0,8200.0,8344.0,0.0,1347162.0
2023-08-10,8351.9140625,8354.0,0.0,8362.0,8270.0,8282.0,0.0,766971.0
2023-08-11,8267.935546875,8270.0,0.0,8339.0322265625,8246.0,8332.0,0.0,1203704.0
2023-08-14,8287.9306640625,8290.0,0.0,8324.0,8236.0,8292.0,0.0,464723.0
2023-08-15,8197.953125,8200.0,0.0,8278.0,8186.0,8268.0,0.0,540037.0
2023-08-16,8155.96240234375,8158.0,0.0,8208.0,8138.0,8154.0,0.0,648616.0
2023-08-17,8074.3369140625,8076.0,35.7,8162.0,8074.0,8112.0,0.0,668535.0
2023-08-18,8036.3447265625,8038.0,0.0,8070.0,7988.0,8052.0,0.0,752006.0
2023-08-21,8066.33837890625,8068.0,0.0,8068.0,8015.2822265625,8046.0,0.0,2801193.0
2023-08-22,8040.34375,8042.0,0.0,8120.0,8004.0,8106.0,0.0,2186330.0
2023-08-23,8126.3251953125,8128.0,0.0,8132.0,8012.0,8026.0,0.0,841497.0
2023-08-24,8170.31689453125,8172.0,0.0,8262.0,8162.0,8188.0,0.0,337921.0
2023-08-25,8180.31494140625,8182.0,0.0,8256.0,8166.0,8166.0,0.0,478539.0
2023-08-29,8198.3115234375,8200.0,0.0,8280.7177734375,8172.0,8278.0,0.0,1185069.0
2023-08-30,8194.3115234375,8196.0,0.0,8260.0,8190.0,8222.0,0.0,544787.0
2023-08-31,8176.3154296875,8178.0,0.0,8218.0,8138.0,8176.0,0.0,1204781.0
2023-09-01,8174.31591796875,8176.0,0.0,8246.0,8154.0,8180.0,0.0,648083.0
2023-09-04,8166.3173828125,8168.0,0.0,8236.0,8148.0,8200.0,0.0,312014.0
2023-09-05,8156.3193359375,8158.0,0.0,8216.0,8094.0,8150.0,0.0,1022394.0
2023-09-06,8262.2978515625,8264.0,0.0,8272.0,8106.0,8158.0,0.0,415921.0
2023-09-07,8174.31591796875,8176.0,0.0,8226.0,7950.0,8070.0,0.0,7196204.0
2023-09-08,8262.2978515625,8264.0,0.0,8280.0,8070.0,8196.0,0.0,3533302.0
2023-09-11,8298.291015625,8300.0,0.0,8400.0,8294.1904296875,8322.0,0.0,5273081.0
2023-09-12,8332.283203125,8334.0,0.0,8350.0,8276.0,8300.0,0.0,999475.0
2023-09-13,8246.3017578125,8248.0,0.0,8330.0,8224.0,8294.0,0.0,3080939.0
2023-09-14,8364.27734375,8366.0,0.0,8366.0,8246.0,8278.0,0.0,1086481.0
2023-09-15,8340.28125,8342.0,0.0,8496.0,8342.0,8442.0,0.0,7403954.0
2023-09-18,8388.2724609375,8390.0,0.0,8390.0,8288.0,8318.0,0.0,1496435.0
2023-09-19,8418.2646484375,8420.0,0.0,8448.0,8354.0,8394.0,0.0,1706585.0
2023-09-20,8374.2744140625,8376.0,0.0,8494.0,8376.0,8442.0,0.0,1658596.0
2023-09-21,8338.2822265625,8340.0,0.0,8436.0,8306.1201171875,8336.0,0.0,2683486.0
